Ref,Val,Package,PosX,PosY,Rot,Side
"D+0","DNP","TP-1.00MM",128.689100,-102.082600,0.000000,top
"D-0","DNP","TP-1.00MM",128.689100,-99.542600,0.000000,top
"FRAME1","DNP","FRAME",126.911100,-113.893600,0.000000,top
"IC3","328P-MUR","VQFN32",142.405100,-105.054400,-135.000000,top
"J1","XXXX_STRIPNANO","HEAD15-NOSS",166.281100,-97.383600,180.000000,top
"J2","XXXX_STRIPNANO","HEAD15-NOSS",166.281100,-112.623600,180.000000,top
"J3","","USB-MINI-B_2",133.972300,-106.603800,90.000000,top
"J4","","2X03",167.449500,-105.003600,90.000000,top
"L0","Yellow","CHIPLED_0805",155.867100,-109.575600,-90.000000,top
"PWR0","Green","CHIPLED_0805",155.867100,-106.527600,-90.000000,top
"RX0","Red","CHIPLED_0805",155.867100,-103.479600,90.000000,top
"SW1","RESET","SMD_157SW",151.422100,-102.971600,-90.000000,top
"TX0","Green","CHIPLED_0805",155.867100,-100.431600,90.000000,top
"U$4","DNP","FD-1-1.5",164.426900,-109.778800,-90.000000,top
"U$5","DNP","FD-1-1.5",168.795700,-99.288600,0.000000,top
"UNK_HOLE_0","","dummyfp0",128.181100,-97.383600,0.000000,top
"UNK_HOLE_1","","dummyfp1",128.181100,-112.623600,0.000000,top
"UNK_HOLE_2","","dummyfp2",168.821100,-112.623600,0.000000,top
"UNK_HOLE_3","","dummyfp3",168.821100,-97.383600,0.000000,top
"Y1","16MHz","RESONATOR",147.764500,-100.687200,-45.000000,top
